Doctor Name,City,Specialization,Doctor Qualification,Experience(Years),Total_Reviews,Patient Satisfaction Rate(%age),Avg Time to Patients(mins),Wait Time(mins),Hospital Address,Doctors Link,Fee(PKR)
Assoc. Prof. Dr. Zainullah Khan Kakar,QUETTA,"Neuro Psychiatrist, Psychiatrist, Neurologist","MBBS , FCPS (psychiatry) , MCPS(Neurology) , IFAPA (USA) , Member Royal College of Psychiatrist (London)",17.0,283.0,98.0,14.0,11.0,"Sajid Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/neuro-psychiatrist/assoc-prof-dr-zainullah-khan-kakar#reviews-scroll,2000.0
Asst. Prof. Dr. Muhammad Ilyas,QUETTA,"Neuro Psychiatrist, Psychiatrist, Neurologist","MBBS, FCPS(Psychiatry), DCN(Neurology) Neuropsychiatrist",12.0,553.0,98.0,14.0,11.0,"Aria Institute Of Medical And Health Sciences, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/neuro-psychiatrist/asst-prof-dr-muhammad-ilyas#reviews-scroll,3000.0
Dr. Ahmed Wali,QUETTA,Neurologist,"FCPS (Neurology), Fellowship Neurophysiology (AKU), Diplomat American Board of Clinical Neurophysiology (DABCN),",10.0,690.0,96.0,16.0,15.0,"Aria Institute Of Medical And Health Sciences, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/neuro-physician/dr-ahmed-wali#reviews-scroll,2500.0
Dr. Ihsan Ul Haq Zarkoon,QUETTA,Neurologist,"MBBS, FCPS (Neurology)",4.0,119.0,99.0,15.0,9.0,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/neuro-physician/dr-ihsan-ul-haq-zarkoon#reviews-scroll,800.0
Prof. Dr. Noor Ahmed Khosa,QUETTA,Neurologist,"MBBS, FCPS",20.0,177.0,97.0,15.0,17.0,"Saleem Medical Complex Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/neuro-physician/prof-dr-noor-ahmed-khosa#reviews-scroll,1500.0
Dr. Naveed Javed,QUETTA,"Psychiatrist, Neurologist","MBBS (UK), MD(USA), MRCP, PhD (UK), Diplomate American Board of Psychiatry and Neurology (USA)",12.0,49.0,98.0,14.0,11.0,"National Diagnostic Center., Suraj Miani Road, Multan",https://www.marham.pk/doctors/multan/psychiatrist/dr-naveed-javed#reviews-scroll,3000.0
Dr. Jahanzeb Kakar,QUETTA,"Neuro Surgeon, Neurologist","MBBS, FRCS(Ireland) FCPS(Neurosurgery)",6.0,53.0,100.0,14.0,11.0,"Akram Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/neuro-surgeon/dr-jahanzeb-kakar#reviews-scroll,2000.0
Asst. Prof. Dr. Alamzeb Khan,QUETTA,"Neuro Surgeon, Neurologist","M.B.B.S, F.C.P.S, (Neuro Surgery) I.T.F(United Kingdom)",9.0,35.0,97.0,13.0,12.0,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/neuro-surgeon/asst-prof-dr-alamzeb-khan#reviews-scroll,1000.0
Dr. Ainullah,QUETTA,Neurologist,"MBBS, MCPS (Medicine), FCPS (Neurology)",5.0,16.0,100.0,14.0,11.0,"Rahman Medical Center, Jinnah Road Quetta, Quetta",https://www.marham.pk/doctors/quetta/neuro-physician/dr-ainullah#reviews-scroll,1000.0
Dr. Nasrullah Langove,QUETTA,"Neuro Surgeon, Neurologist","MBBS, FCPS ( Neuro Surgeon )",12.0,143.0,99.0,14.0,11.0,"Gillani Hopsital, Satellite Town, Quetta",https://www.marham.pk/doctors/quetta/neuro-surgeon/dr-nasrullah-langove#reviews-scroll,1000.0
Prof. Dr. Aisha Siddiqa,QUETTA,Gynecologist,"MBBS, FCPS, Masters In Surgery (Glasgow UK)",32.0,856.0,95.0,15.0,25.0,"Saleem Medical Complex Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/prof-dr-aisha-siddiqa#reviews-scroll,1500.0
Prof. Dr. Uzma Sohail,QUETTA,"Gynecologist, Gynecologist","MBBS, MCPS, FCPS (Obstetrics &amp; Gynecology)",27.0,445.0,97.0,14.0,18.0,"Akram Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/prof-dr-uzma-sohail#reviews-scroll,2000.0
Prof. Dr. Rohana Salam,QUETTA,Gynecologist,"MBBS, FCPS (Obstetrics &amp; Gynecology)",22.0,489.0,97.0,14.0,20.0,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/prof-dr-rohana-salam#reviews-scroll,3000.0
Prof. Dr. Najma Ghaffar,QUETTA,"Gynecologist, Radiologist","MBBS, MCPS( Obstetrics &amp; Gynecology), FCPS ( Obstetrics &amp; Gynecology)",20.0,641.0,96.0,15.0,16.0,"Dng Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/prof-dr-najma-ghaffar#reviews-scroll,1500.0
Dr. Zaib Un Nisa Jogazai,QUETTA,Gynecologist,"MBBS, FCPS (Obstetrics &amp; Gynecology)",5.0,10.0,92.0,12.0,7.0,"Al Shafa Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/dr-zaib-un-nisa-jogazai#reviews-scroll,1000.0
Dr. Rukhsana,QUETTA,Gynecologist,"MBBS, FCPS ( Obstetrics &amp; Gynaecology)",7.0,26.0,100.0,14.0,10.0,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/dr-rukhsana#reviews-scroll,1000.0
Dr. Nabila Naz,QUETTA,Gynecologist,"MBBS, MCPS, MPH(AUSTRALIA), S.T.A.R.T (Infertility) (AUSTRALIA) Infertility Expert",10.0,164.0,97.0,16.0,10.0,"Rahat Medical Complex, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/dr-nabila-naz#reviews-scroll,600.0
Dr. Rizwana Naz,QUETTA,Gynecologist,"MBBS, FCPS (Gynecology &amp; Obstetrics)",10.0,11.0,100.0,12.0,8.0,"Heart And General Hospital, Model Town, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/dr-rizwana-naz#reviews-scroll,1500.0
Dr. Kalsoom Noor,QUETTA,Gynecologist,"MBBS, FCPS (Gyne &amp; Obs)",3.0,2.0,100.0,9.0,11.0,"Yaseen Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/dr-kalsoom-noor#reviews-scroll,1000.0
Dr. Bareera Sadaf,QUETTA,Gynecologist,"MBBS, FCPS, (Gynecology)",6.0,48.0,96.0,15.0,13.0,"Doctors Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/dr-bareera-sadaf#reviews-scroll,1000.0
Dr. Salma Khudaidad,QUETTA,Gynecologist," MBBS , FCPS (Obstetrics &amp; Gynaecology)",8.0,10.0,100.0,14.0,8.0,"Saleem Medical Complex Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/dr-salma-khudaidad#reviews-scroll,1000.0
Dr. Zargai Kakar,QUETTA,Gynecologist,"MBBS, FCPS (Obstetrics &amp; Gynecology)",10.0,15.0,100.0,12.0,8.0,"Gillani Hopsital, Satellite Town, Quetta",https://www.marham.pk/doctors/quetta/gynecologist/dr-zargai-kakar#reviews-scroll,1000.0
Dr. Naimat Ullah Tareen,QUETTA,"Urologist, Sexologist","MBBS, FCPS (Urology)",10.0,647.0,99.0,14.0,12.0,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/urologist/dr-naimat-ullah-tareen#reviews-scroll,1000.0
Dr. Asad Tareen,QUETTA,Urologist,"MBBS, FCPS ( Urology )",5.0,19.0,100.0,15.0,13.0,"Sultan Tareen Health Care &amp; Transplant Institute, Zarghun Road, Quetta",https://www.marham.pk/doctors/quetta/urologist/dr-asad-tareen#reviews-scroll,1000.0
Asst. Prof. Dr. Hayat Kakar,QUETTA,Urologist," MBBS , , FCPS (Urology) , , Member Of Middle East Society Of Transplant ",10.0,28.0,97.0,12.0,8.0,"Rahat Medical Complex, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/urologist/asst-prof-dr-hayat-kakar#reviews-scroll,1000.0
Asst. Prof. Dr. Shoukat Ali,QUETTA,Urologist," MBBS , FCPS (Urology) ",6.0,101.0,100.0,14.0,8.0,"Yaseen Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/urologist/asst-prof-dr-shoukat-ali#reviews-scroll,1000.0
Dr. Ahmed Ullah,QUETTA,Urologist,"MBBS, FCPS (Urology)",5.0,148.0,97.0,14.0,11.0,"National Hospital, Near Quetta Laboratory Prince Road, Quetta",https://www.marham.pk/doctors/quetta/urologist/dr-ahmed-ullah#reviews-scroll,1500.0
Dr. Rashid Ali Baloch,QUETTA,"Endourologist, Urologist","MBBS, FCPS (Urology)",8.0,11.0,100.0,17.0,5.0,"Al-Khair Medical Complex Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/endourologist/dr-rashid-ali-baloch#reviews-scroll,1000.0
Dr. Hafeez Ullah,QUETTA,Urologist,"MBBS, FCPS (Urology)",2.0,2.0,100.0,10.0,60.0,"Jilani Hospital, Satellite Town, Quetta",https://www.marham.pk/doctors/quetta/urologist/dr-hafeez-ullah#reviews-scroll,1000.0
Dr. Muhammad Anwar Jan,QUETTA,Urologist,"MBBS, MCPS, FCPS (Urology)",5.0,0.0,94.0,14.0,11.0,"Al Qadir Hospital, Quetta City, Quetta",No Link Available,1000.0
Assoc. Prof. Dr. Masha Khan,QUETTA,Urologist,"MBBS, FCPS",10.0,0.0,94.0,14.0,11.0,"Akram Hospital, Quetta City, Quetta",No Link Available,600.0
Asst. Prof. Dr. Muhammad Musa Kakar,QUETTA,Urologist,"MBBS, MS(urology)",10.0,0.0,94.0,14.0,11.0,"Rahat Medical Complex, Quetta City, Quetta",No Link Available,700.0
Dr. Hidayatullah Mandokhail,QUETTA,Urologist,MBBS FCPS MCPS,10.0,0.0,94.0,14.0,11.0,"Jilani Hospital, Satellite Town, Quetta",No Link Available,700.0
Dr. Jamil Kakar,QUETTA,Urologist,"MBBS, FCPS",7.0,1.0,100.0,14.0,11.0,"Heart And General Hospital, Model Town, Quetta",https://www.marham.pk/doctors/quetta/urologist/dr-jamil-kakar#reviews-scroll,500.0
Asst. Prof. Dr. M Hussain Baloch,QUETTA,Gastroenterologist,"MBBS, MCPS (Medicine), FCPS(Gastroenterology), MRCP (Gastroenterology)",12.0,1099.0,99.0,11.0,8.0,"Gillani Hopsital, Satellite Town, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/asst-prof-dr-m-hussain-baloch#reviews-scroll,800.0
Dr. Muhammad Farooq Zarkoon,QUETTA,Gastroenterologist,"MBBS, FCPS, Fellowship (ERCP)",15.0,1641.0,99.0,15.0,17.0,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/dr-muhammad-farooq-zarkoon#reviews-scroll,2000.0
Dr. Essa Khan Achakzai,QUETTA,Gastroenterologist,"MBBS, MD Gold Medalist, FCPS Gastroenterology",5.0,12.0,100.0,11.0,9.0,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/dr-essa-khan-achakzai#reviews-scroll,1000.0
Dr. Niaz Muhammad,QUETTA,Gastroenterologist,"MBBS, MCPS (Medicine), FCPS (Gastroenterology)",14.0,127.0,98.0,12.0,12.0,"Saleem Medical Complex Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/dr-niaz-muhammad#reviews-scroll,1000.0
Dr. Khalid Tareen,QUETTA,Gastroenterologist," MBBS , FCPS (Gastroenterology) ",7.0,167.0,100.0,15.0,9.0,"Mid East Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/dr-khalid-tareen#reviews-scroll,1000.0
Dr. Muhammad Naseer,QUETTA,Gastroenterologist,"MBBS, FCPS (Gastroenterology)",14.0,152.0,99.0,13.0,10.0,"Akram Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/dr-muhammad-naseer#reviews-scroll,1000.0
Assoc. Prof. Dr. Muhammad Usman Tareen,QUETTA,Gastroenterologist,"MBBS, MCPS(Medicine) FCPS(Gastroenterology)",16.0,216.0,96.0,15.0,12.0,"Doctors Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/assoc-prof-dr-muhammad-usman-tareen#reviews-scroll,3000.0
Dr. Masood Tareen,QUETTA,Gastroenterologist,"MBBS, MCPS(Med), MRCP SCE(UK), FCPS (Gastroenterology), ESEGH (European Specialty Exam in Gastroenterology &amp; Hepatology)",7.0,223.0,100.0,11.0,9.0,"Yaseen Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/dr-masood-tareen#reviews-scroll,900.0
Dr. Ameer Bakhsh Langove,QUETTA,Gastroenterologist,"MBBS, FCPS (Gastroenterology), Post Fellowship In ERCP",8.0,17.0,100.0,14.0,9.0,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/dr-ameer-bakhsh-langove#reviews-scroll,1000.0
Dr. Abdul Latif,QUETTA,Gastroenterologist,"MBBS, FCPS (Gastroenterology)",8.0,62.0,100.0,16.0,7.0,"Doctors Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/dr-abdul-latif#reviews-scroll,1000.0
Dr. Inayatullah Khan Kakar,QUETTA,"Gastroenterologist, Hepatologist","MBBS, FCPS (Gastroenterology)",5.0,20.0,100.0,10.0,9.0,"Yaseen Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/dr-inayatullah-khan-kakar#reviews-scroll,1500.0
Dr. Inam Ullah Khan,QUETTA,"Gastroenterologist, Hepatologist"," MBBS , FCPS(Gastroenterology) ",2.0,19.0,95.0,16.0,9.0,"Rahat Medical Complex, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/gastroenterologist/dr-inam-ullah-khan#reviews-scroll,800.0
Asst. Prof. Dr. Nasir Azim Kakar,QUETTA,"Pulmonologist / Lung Specialist, Internal Medicine Specialist"," MBBS , FCPS (Pulmonology) ",10.0,420.0,99.0,15.0,15.0,"Doctors Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/asst-prof-dr-nasir-azim-kakar#reviews-scroll,1500.0
Asst. Prof. Dr. Tahir Khan,QUETTA,"Pulmonologist / Lung Specialist, General Physician, Allergy Specialist","MBBS, FCPS",10.0,185.0,98.0,15.0,10.0,"Yaseen Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/asst-prof-dr-tahir-khan#reviews-scroll,1000.0
Dr. Ishfaq Ahmed,QUETTA,Pulmonologist / Lung Specialist,"MBBS, FCPS (Pulmonology)",10.0,43.0,96.0,14.0,12.0,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/dr-ishfaq-ahmed#reviews-scroll,1000.0
Dr. Sohail Mushtaq,QUETTA,Pulmonologist / Lung Specialist,"MBBS, DTCD ( T.B. &amp; Chest Diseases )",23.0,120.0,98.0,16.0,8.0,"Shoaib Medical Store, Baldia Town, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/dr-sohail-mushtaq#reviews-scroll,1000.0
Asst. Prof. Dr. Abdul Baqi Achakzai,QUETTA,Pulmonologist / Lung Specialist,"MBBS ,MCPS (Medicine) , FCPS (Pulmonology)",6.0,96.0,100.0,14.0,6.0,"Jilani Hospital, Satellite Town, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/asst-prof-dr-abdul-baqi-achakzai#reviews-scroll,1000.0
Asst. Prof. Dr. Syed Aman Ullah Shah,QUETTA,Pulmonologist / Lung Specialist," MBBS , FCPS ( Pulmonology )",5.0,11.0,100.0,12.0,8.0,"Sultan Tareen Health Care &amp; Transplant Institute, Zarghun Road, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/asst-prof-dr-syed-aman-ullah-shah#reviews-scroll,1000.0
Dr. Ali Ahmed Reki,QUETTA,Pulmonologist / Lung Specialist,"MBBS, DTCD(KHI)",15.0,11.0,100.0,15.0,5.0,"Saleem Medical Complex Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/dr-ali-ahmed-reki#reviews-scroll,1000.0
Dr. Muhammad Yaseen,QUETTA,Pulmonologist / Lung Specialist,"MBBS, FCPS (Pulmonology)",8.0,12.0,100.0,12.0,9.0,"Gillani Hopsital, Satellite Town, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/dr-muhammad-yaseen#reviews-scroll,1200.0
Dr. Iftikhar Ali Kakar,QUETTA,Pulmonologist / Lung Specialist,"MBBS , MCPS , DTCD , MHPE/MS (Masters In Health Professional &amp; Research )",8.0,109.0,100.0,15.0,17.0,"Fc Hospital, Cantt, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/dr-iftikhar-ali-kakar#reviews-scroll,1000.0
Dr. Abdul Haseeb Kakar,QUETTA,Pulmonologist / Lung Specialist,"MBBS, FCPS",7.0,16.0,100.0,17.0,15.0,"Al Qadir Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/dr-abdul-haseeb-kakar#reviews-scroll,1000.0
Dr. Maqsood Ahmed,QUETTA,Pulmonologist / Lung Specialist," MBBS , MCPS ",5.0,1.0,100.0,10.0,20.0,"Al Shafi Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/dr-maqsood-ahmed#reviews-scroll,800.0
Dr. Raheemuddin,QUETTA,"Pulmonologist / Lung Specialist, Allergy Specialist"," MBBS , DTCD (TB.Chest Disease) , MCPS (Pulmonology) ",13.0,36.0,97.0,12.0,6.0,"Sangeen Khan Hospital, Killi Shaboo, Quetta",https://www.marham.pk/doctors/quetta/pulmonologist/dr-raheemuddin#reviews-scroll,1000.0
Dr. Attiq Ur Rehman,QUETTA,"Orthopedic Surgeon, Spinal Surgeon","M.B B.S, F.C.P.S (AKUH) , Fellowship In Joint Replacement , Fellowship In Spinal surgery (Singapore)",15.0,1780.0,98.0,14.0,18.0,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/orthopedic-surgeon/dr-attiq-ur-rehman#reviews-scroll,1200.0
Assoc. Prof. Dr. Lal Muhammad Khan Kakar,QUETTA,"Orthopedic Surgeon, Spinal Surgeon","MBBS, FCPS (Orthopedic Surgery) , FICS (USA)",20.0,264.0,96.0,15.0,9.0,"National Hospital, Near Quetta Laboratory Prince Road, Quetta",https://www.marham.pk/doctors/quetta/orthopedic-surgeon/assoc-prof-dr-lal-muhammad-khan-kakar#reviews-scroll,3000.0
Asst. Prof. Dr. Ahmed Abdul Habib,QUETTA,Orthopedic Surgeon,"MBBS, FCPS (Aga Khan University) (Orthopedic Surgeon), Fellowship in Hand and Micro vascular Surgery (Germany)",8.0,76.0,100.0,13.0,16.0,"Aria Institute Of Medical And Health Sciences, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/orthopedic-surgeon/asst-prof-dr-ahmed-abdul-habib#reviews-scroll,1200.0
Dr. Ahmer Ali,QUETTA,Orthopedic Surgeon,"MBBS, FCPS (Orthopedic Surgery)",5.0,8.0,100.0,14.0,21.0,"Al Shafi Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/orthopedic-surgeon/dr-ahmer-ali#reviews-scroll,1000.0
Dr. Muhammad Saleem Qureshi,QUETTA,Orthopedic Surgeon,"MBBS, FCPS (Orthopedic Surgery)",8.0,18.0,100.0,12.0,7.0,"Rehan Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/orthopedic-surgeon/dr-muhammad-saleem-qureshi#reviews-scroll,1000.0
Asst. Prof. Dr. Muhammad Tariq Hasni,QUETTA,Orthopedic Surgeon,"MBBS, FCPS , Fellowship In Joint Replacement Surgery (Khi) Fellowship In AO Trauma (Germany) Fellowship in Joint Replacement (Taiwan)",15.0,47.0,100.0,16.0,9.0,"Sultan Tareen Health Care &amp; Transplant Institute, Zarghun Road, Quetta",https://www.marham.pk/doctors/quetta/orthopedic-surgeon/asst-prof-dr-muhammad-tariq-hasni#reviews-scroll,1200.0
Asst. Prof. Dr. Mohammad Aslam Mengal,QUETTA,"Orthopedic Surgeon, Orthopedic Surgeon, Pediatric Orthopedic Surgeon","MBBS, FCPS(orthopedic Surgery) ,Post Fellowship In pediatric orthopedic surgery",11.0,18.0,100.0,13.0,7.0,"Tariq Hospital, Saryab Road, Quetta",https://www.marham.pk/doctors/quetta/orthopedic-surgeon/asst-prof-dr-mohammad-aslam-mengal#reviews-scroll,1000.0
Dr. Shams Ullah,QUETTA,Orthopedic Surgeon,"MBBS, FCPS",5.0,3.0,100.0,13.0,6.0,"Doctors medical camplex, Power House, Chaman",https://www.marham.pk/doctors/quetta/orthopedic-surgeon/dr-shams-ullah#reviews-scroll,1000.0
Prof. Dr. Eid Muhammad Mandokhail,QUETTA,"Orthopedic Surgeon, Pain Specialist","MBBS, FCPS(Ortho)",17.0,124.0,98.0,16.0,10.0,"Sangeen Khan Hospital, Killi Shaboo, Quetta",https://www.marham.pk/doctors/quetta/orthopedic-surgeon/prof-dr-eid-muhammad-mandokhail#reviews-scroll,2000.0
Asst. Prof. Dr. K B Umrani,QUETTA,"Orthopedic Surgeon, Orthopedic Surgeon","MBBS, MS (Orthopedic Surgery)",20.0,49.0,100.0,15.0,11.0,"Nusrat Riaz Hospital, Satellite Town, Quetta",https://www.marham.pk/doctors/quetta/orthopedic-surgeon/asst-prof-dr-k-b-umrani#reviews-scroll,1000.0
Asst. Prof. Dr. Muhammad Humayun Hameed,QUETTA,"Orthopedic Surgeon, Pain Specialist","MBBS , MCPS, FCPS (Agha Khan Hospital), Fellowship In Ilizarove (Italy), Fellowship In Joint Replacement Surgery (Pak)",11.0,361.0,99.0,16.0,11.0,"Mid Town Hospital, purana pashin adda, Quetta",https://www.marham.pk/doctors/quetta/orthopedic-surgeon/asst-prof-dr-muhammad-humayun-hameed#reviews-scroll,2000.0
Asst. Prof. Dr. Jamil Ahmed Zehri,QUETTA,"Orthopedic Surgeon, Pediatric Orthopedic Surgeon, Spinal Surgeon","MBBS, FCPS,(Orthopedic Surgery, Ghurki)",6.0,202.0,100.0,15.0,14.0,"Heart And General Hospital, Model Town, Quetta",https://www.marham.pk/doctors/quetta/orthopedic-surgeon/asst-prof-dr-jamil-ahmed-zehri#reviews-scroll,1000.0
Dr. Rizwan Riaz,QUETTA,Pediatrician,"MBBS, MCPS, DCH",14.0,174.0,98.0,15.0,8.0,"Al Noor Clinic, Toghi Road, Quetta",https://www.marham.pk/doctors/quetta/pediatrician/dr-rizwan-riaz#reviews-scroll,700.0
Dr. Muhammad Hussain,QUETTA,"Pediatrician, Neonatologist","MBBS, MCPS, FCPS",10.0,366.0,100.0,15.0,10.0,"Doctors Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/pediatrician/dr-muhammad-hussain#reviews-scroll,1000.0
Dr. Mohammad Yousaf Kakar,QUETTA,Pediatrician,"MBBS, MCPS (Pediatrics), FCPS (Pediatrics)",5.0,6.0,100.0,10.0,17.0,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/pediatrician/dr-mohammad-yousaf-kakar#reviews-scroll,800.0
